Date,Time,Temp (C*)
2020-07-09,20:30:01,18.0
2020-07-09,20:31:02,27.0
2020-07-09,20:32:01,8.0
2020-07-09,20:33:01,28.0
2020-07-09,20:34:01,24.0
2020-07-09,20:35:02,17.0
2020-07-09,20:36:01,25.0
2020-07-09,20:37:01,25.0
2020-07-09,20:38:01,20.0
2020-07-09,20:39:02,4.0
2020-07-09,20:40:01,10.0
2020-07-09,20:41:01,14.0
2020-07-09,20:42:01,9.0
2020-07-09,20:43:02,28.0
2020-07-09,20:44:01,29.0
2020-07-09,20:45:02,28.0
2020-07-09,20:46:01,18.0
2020-07-09,20:47:02,24.0
2020-07-09,20:48:01,9.0
2020-07-09,20:49:01,24.0
2020-07-09,20:50:01,12.0
2020-07-09,20:51:01,4.0
2020-07-09,20:52:02,15.0
2020-07-09,20:53:01,2.0
2020-07-09,20:54:02,7.0
2020-07-09,20:55:01,25.0
2020-07-09,20:56:02,29.0
2020-07-09,20:57:01,28.0
2020-07-09,20:58:01,14.0
2020-07-09,20:59:02,13.0
2020-07-09,21:00:01,10.0
2020-07-09,21:01:02,6.0
2020-07-09,21:02:01,13.0
2020-07-09,21:03:02,15.0
2020-07-09,21:04:01,21.0
2020-07-09,21:05:02,21.0
2020-07-09,21:06:01,1.0
2020-07-09,21:07:01,3.0
2020-07-09,21:08:02,13.0
2020-07-09,21:09:02,26.0
2020-07-09,21:10:01,9.0
2020-07-09,21:11:02,2.0
2020-07-09,21:12:01,6.0
2020-07-09,21:13:02,15.0
2020-07-09,21:14:01,8.0
2020-07-09,21:15:02,3.0
2020-07-09,21:16:01,6.0
2020-07-09,21:17:02,28.0
2020-07-09,21:18:01,24.0
2020-07-09,21:19:02,25.0
2020-07-09,21:20:01,17.0
2020-07-09,21:21:01,12.0
2020-07-09,21:22:01,2.0
2020-07-09,21:23:01,12.0
2020-07-09,21:24:01,17.0
2020-07-09,21:25:01,24.0
2020-07-09,21:26:02,24.0
2020-07-09,21:27:01,27.0
2020-07-09,21:28:02,3.0
2020-07-09,21:29:01,22.0
2020-07-09,21:30:02,26.0
2020-07-09,21:31:01,10.0
2020-07-09,21:32:02,28.0
2020-07-09,21:33:01,4.0
2020-07-09,21:34:01,26.0
2020-07-09,21:35:01,29.0
2020-07-09,21:36:01,28.0
2020-07-09,21:37:02,5.0
2020-07-09,21:38:01,10.0
2020-07-09,21:39:02,18.0
2020-07-09,21:40:01,3.0
2020-07-09,21:45:02,8.0
2020-07-09,22:00:01,28.0
2020-07-09,22:15:01,5.0
2020-07-09,22:30:02,23.0
2020-07-09,22:45:01,2.0
2020-07-09,23:00:01,5.0
2020-07-09,23:15:02,27.0
2020-07-09,23:30:02,3.0
2020-07-09,23:45:02,17.0
